Timestamp,IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Predicted_Label,Prob_BENIGN,Prob_Bot,Prob_Brute Force,Prob_DoS Attack,Prob_PortScan
2024-12-20_12:26:50,TCP-192.168.12.140:47798-192.168.12.146:80,80.0,215748.0,3.0,1.0,176.0,0.0,176.0,0.0,58.666666667,82.967195659,0.0,0.0,0.0,0.0,815.766542448,18.540148692,71916.0,101604.189008131,215606.0,2.0,215748.0,107874.0,107872.0,215746.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,13.905111519,4.635037173,0.0,176.0,44.0,76.210235533,5808.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,44.0,58.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.16472825,5.502032e-09,5.9677423e-09,8.885891e-09,0.83527166
2024-12-20_12:26:50,TCP-192.168.12.140:47806-192.168.12.146:80,80.0,215747.0,3.0,1.0,618.0,0.0,618.0,0.0,206.0,291.327993849,0.0,0.0,0.0,0.0,2864.46624982,18.540234627,71915.666666667,101523.144767859,215491.0,1.0,215747.0,107873.5,107872.5,215746.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,13.90517597,4.635058657,0.0,618.0,154.5,267.601849769,71610.75,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,154.5,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.47469395,1.6909782e-08,6.033432e-08,4.5559003e-07,0.5253055
2024-12-20_12:26:50,TCP-192.168.12.140:47814-192.168.12.146:80,80.0,215746.0,3.0,1.0,18.0,0.0,18.0,0.0,6.0,8.485281374,0.0,0.0,0.0,0.0,83.43144253,18.540320562,71915.333333333,101471.797071348,215418.0,0.0,215746.0,107873.0,107873.0,215746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,13.905240422,4.635080141,0.0,18.0,4.5,7.794228634,60.75,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.13172144,2.7547749e-09,2.5756788e-09,2.9011824e-09,0.8682786
2024-12-20_12:26:50,TCP-192.168.12.140:47822-192.168.12.146:80,80.0,3267.0,3.0,1.0,157.0,0.0,157.0,0.0,52.333333333,74.010509764,0.0,0.0,0.0,0.0,48056.320783594,1224.364860728,1089.0,826.661155896,2245.0,360.0,3267.0,1633.5,611.5,2245.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,918.273645546,306.091215182,0.0,157.0,39.25,67.982994197,4621.6875,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,39.25,52.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.17245558,2.986598e-09,4.0735313e-09,4.508936e-09,0.82754445
2024-12-20_12:26:50,TCP-192.168.12.140:47824-192.168.12.146:80,80.0,1234.0,3.0,1.0,162.0,0.0,162.0,0.0,54.0,76.367532368,0.0,0.0,0.0,0.0,131280.38897893,3241.4910859,411.333333333,272.313952799,781.0,133.0,1234.0,617.0,164.0,781.0,453.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,2431.118314425,810.372771475,0.0,162.0,40.5,70.148057707,4920.75,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,40.5,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.1753314,2.7090048e-09,3.86827e-09,4.4596264e-09,0.8246685
2024-12-20_12:26:50,TCP-192.168.12.140:47834-192.168.12.146:80,80.0,4254.0,3.0,1.0,18.0,0.0,18.0,0.0,6.0,8.485281374,0.0,0.0,0.0,0.0,4231.311706629,940.291490362,1418.0,1298.996535792,3254.0,446.0,4254.0,2127.0,1127.0,3254.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,705.218617772,235.072872591,0.0,18.0,4.5,7.794228634,60.75,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.1357392,1.8734778e-09,2.1091613e-09,1.7648233e-09,0.8642608
2024-12-20_12:26:50,TCP-192.168.12.140:47844-192.168.12.146:80,80.0,10490.0,3.0,1.0,40.0,0.0,40.0,0.0,13.333333333,18.856180832,0.0,0.0,0.0,0.0,3813.155386082,381.315538608,3496.666666667,4263.822254999,9526.0,407.0,10490.0,5245.0,4281.0,9526.0,964.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,206.0,74.0,285.986653956,95.328884652,0.0,40.0,10.0,17.320508076,300.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.333333333,10.0,13.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240.0,65160.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.14106289,2.042042e-09,2.335749e-09,2.0437723e-09,0.8589371
2024-12-20_12:26:50,TCP-192.168.12.140:558-192.168.12.146:32768,32768.0,1034340.0,5.0,3.0,44.0,0.0,44.0,0.0,8.8,17.6,0.0,0.0,0.0,0.0,42.539203743,7.734400681,147762.857142857,359609.525369802,1028619.0,149.0,1034340.0,258585.0,444666.41196913,1028768.0,1000.0,1032947.0,516473.5,512540.5,1029014.0,3933.0,0.0,1.0,0.0,1.0,338.0,206.0,4.834000425,2.900400255,0.0,44.0,5.5,14.551632211,211.75,2.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.6,5.5,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,3.0,0.0,64240.0,509.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.001631368,5.1847944e-09,3.0654683e-09,6.515461e-11,0.9983686
2024-12-20_12:26:50,TCP-192.168.12.140:735-192.168.12.146:5000,5000.0,1036542.0,6.0,4.0,44.0,562.0,44.0,0.0,7.333333333,16.397831835,562.0,0.0,140.5,243.353138463,584.636223134,9.647462428,115171.333333333,322939.738306631,1028576.0,36.0,1036542.0,207308.4,410654.171145795,1028612.0,139.0,1036002.0,345334.0,485110.464475876,1031380.0,334.0,0.0,2.0,0.0,2.0,392.0,272.0,5.788477457,3.858984971,0.0,562.0,60.6,167.647368008,28105.64,2.0,2.0,2.0,2.0,7.0,0.0,0.0,0.0,0.666666667,60.6,7.333333333,140.5,0.0,0.0,0.0,0.0,0.0,0.0,6.0,44.0,4.0,562.0,64240.0,509.0,1.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.7798526,0.0017165611,0.040673878,0.0014277207,0.17632918
2024-12-20_12:26:50,UDP-192.168.12.1:5353-224.0.0.251:5353,5353.0,1029754.0,2.0,0.0,86.0,0.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,83.515091954,1.942211441,1029754.0,0.0,1029754.0,1029754.0,1029754.0,1029754.0,0.0,1029754.0,1029754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,1.942211441,0.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PortScan,0.004315389,5.170814e-10,2.1130315e-09,1.0096439e-10,0.9956846
2024-12-20_12:26:50,UDP-fe80::7f00:30a3:60c9:8f44:5353-ff02::fb:5353,5353.0,1029750.0,2.0,0.0,86.0,0.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,83.515416363,1.942218985,1029750.0,0.0,1029750.0,1029750.0,1029750.0,1029750.0,0.0,1029750.0,1029750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,1.942218985,0.0,43.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,0.0,0.0,0.0,0.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN,0.5661847,3.3817292e-07,1.8698611e-06,5.1472775e-06,0.433808
